SupplyNode,PlantLocation,Feedstock,FlowTons,Distance_km,,,,,,,,,,,,,
CLUSTER_389,A,pig_man,58.461,27.62370321,,,,,,,,,,,,,
CLUSTER_395,A,cattle_man,1724.5,13.49615604,,,,,,,,,,,,,
CLUSTER_395,A,cattle_slu,11396,13.49615604,,,,,,,,,,,,,
CLUSTER_395,A,horse_man,552.08,13.49615604,,,,,,,,,,,,,
CLUSTER_395,A,pig_man,29.4111,13.49615604,,,,,,,,,,,,,
CLUSTER_4,A,cattle_man,20439,15.50076116,,,,,,,,,,,,,
CLUSTER_4,A,cattle_slu,14925.2,15.50076116,,,,,,,,,,,,,
CLUSTER_4,A,horse_man,2532.2,15.50076116,,,,,,,,,,,,,
CLUSTER_4,A,pig_man,730.49,15.50076116,,,,,,,,,,,,,
CLUSTER_404,A,horse_man,106.291083,52.43961657,,,,,,,,,,,,,
CLUSTER_404,A,pig_man,75.63,52.43961657,,,,,,,,,,,,,
CLUSTER_405,A,cattle_man,3574,18.72752586,,,,,,,,,,,,,
CLUSTER_405,A,cattle_slu,18811.7,18.72752586,,,,,,,,,,,,,
CLUSTER_405,A,horse_man,311.8,18.72752586,,,,,,,,,,,,,
CLUSTER_405,A,pig_man,1316,18.72752586,,,,,,,,,,,,,
CLUSTER_41,A,cattle_man,390.8,32.60178892,,,,,,,,,,,,,
CLUSTER_41,A,pig_man,16.8586,32.60178892,,,,,,,,,,,,,
CLUSTER_417,A,cattle_man,11640,24.98450546,,,,,,,,,,,,,
CLUSTER_417,A,horse_man,430.8,24.98450546,,,,,,,,,,,,,
CLUSTER_417,A,pig_man,197.25,24.98450546,,,,,,,,,,,,,
CLUSTER_418,A,cattle_man,5426.46,30.40108354,,,,,,,,,,,,,
CLUSTER_418,A,horse_man,144.9,30.40108354,,,,,,,,,,,,,
CLUSTER_418,A,pig_man,116.425,30.40108354,,,,,,,,,,,,,
CLUSTER_420,A,cattle_man,7064,18.65288267,,,,,,,,,,,,,
CLUSTER_420,A,cattle_slu,40370,18.65288267,,,,,,,,,,,,,
CLUSTER_420,A,horse_man,315.77,18.65288267,,,,,,,,,,,,,
CLUSTER_420,A,pig_man,412.5,18.65288267,,,,,,,,,,,,,
CLUSTER_421,A,cattle_man,2121,21.34896572,,,,,,,,,,,,,
CLUSTER_421,A,cattle_slu,11503,21.34896572,,,,,,,,,,,,,
CLUSTER_421,A,horse_man,802.6,21.34896572,,,,,,,,,,,,,
CLUSTER_424,A,horse_man,879.04,64.6488672,,,,,,,,,,,,,
CLUSTER_445,A,cattle_man,831.9,39.81980733,,,,,,,,,,,,,
CLUSTER_445,A,horse_man,58.691,39.81980733,,,,,,,,,,,,,
CLUSTER_445,A,pig_man,3700,39.81980733,,,,,,,,,,,,,
CLUSTER_454,A,pig_man,279.8,40.40002789,,,,,,,,,,,,,
CLUSTER_455,A,cattle_man,11640,45.91159004,,,,,,,,,,,,,
CLUSTER_455,A,horse_man,810.1,45.91159004,,,,,,,,,,,,,
CLUSTER_455,A,pig_man,488.41,45.91159004,,,,,,,,,,,,,
CLUSTER_46,A,cattle_man,1697,22.95143464,,,,,,,,,,,,,
CLUSTER_46,A,horse_man,2237,22.95143464,,,,,,,,,,,,,
CLUSTER_46,A,pig_man,83.87871,22.95143464,,,,,,,,,,,,,
CLUSTER_465,A,pig_man,518,51.68111692,,,,,,,,,,,,,
CLUSTER_467,A,pig_man,1040.9,73.23903913,,,,,,,,,,,,,
CLUSTER_468,A,cattle_man,1492,25.66830717,,,,,,,,,,,,,
CLUSTER_468,A,horse_man,11.2,25.66830717,,,,,,,,,,,,,
CLUSTER_483,A,cattle_man,2116.9,34.33843964,,,,,,,,,,,,,
CLUSTER_483,A,horse_man,289.75,34.33843964,,,,,,,,,,,,,
CLUSTER_483,A,pig_man,2458.9,34.33843964,,,,,,,,,,,,,
CLUSTER_486,A,pig_man,772,41.80705227,,,,,,,,,,,,,
CLUSTER_49,A,horse_man,1710.1,52.00713868,,,,,,,,,,,,,
CLUSTER_490,A,pig_man,105.9,53.61025037,,,,,,,,,,,,,
CLUSTER_491,A,horse_man,277.6,54.21975683,,,,,,,,,,,,,
CLUSTER_494,A,cattle_man,9580,47.61126783,,,,,,,,,,,,,
CLUSTER_494,A,horse_man,104.9,47.61126783,,,,,,,,,,,,,
CLUSTER_494,A,pig_man,566.9,47.61126783,,,,,,,,,,,,,
CLUSTER_497,A,horse_man,138.0999993,69.36870224,,,,,,,,,,,,,
CLUSTER_506,A,cattle_man,1700,38.41797287,,,,,,,,,,,,,
CLUSTER_506,A,horse_man,529,38.41797287,,,,,,,,,,,,,
CLUSTER_506,A,pig_man,228.0325,38.41797287,,,,,,,,,,,,,
CLUSTER_517,A,cattle_man,2042,35.18364342,,,,,,,,,,,,,
CLUSTER_517,A,horse_man,372.7,35.18364342,,,,,,,,,,,,,
CLUSTER_524,A,cattle_man,2192,36.07819619,,,,,,,,,,,,,
CLUSTER_524,A,pig_man,18.178,36.07819619,,,,,,,,,,,,,
CLUSTER_525,A,cattle_man,4927.7,53.9007391,,,,,,,,,,,,,
CLUSTER_525,A,horse_man,29.06,53.9007391,,,,,,,,,,,,,
CLUSTER_525,A,pig_man,24.965,53.9007391,,,,,,,,,,,,,
CLUSTER_526,A,horse_man,485,70.84867643,,,,,,,,,,,,,
CLUSTER_526,A,pig_man,141,70.84867643,,,,,,,,,,,,,
CLUSTER_530,A,horse_man,443.5999992,85.21400323,,,,,,,,,,,,,
CLUSTER_532,A,cattle_man,3510.0508,32.47704032,,,,,,,,,,,,,
CLUSTER_532,A,horse_man,177.7,32.47704032,,,,,,,,,,,,,
CLUSTER_532,A,pig_man,411.16,32.47704032,,,,,,,,,,,,,
CLUSTER_535,A,pig_man,20.86065861,67.26712304,,,,,,,,,,,,,
CLUSTER_75,A,cattle_man,15511.3,19.70091726,,,,,,,,,,,,,
